Date,Transaction_ID,Number,Description,Notes,Memo,Full_Account_Name,Account_Name,Amount_Num
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,Employee Régie des rentes du Québec/Quebec Pension Plan QPP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-66.88
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,Employee Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-8.94
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,Employee Cotisation à l'assurance-emploi/Employment Insurance Premiums,Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-23.52
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,Paie Nette/Net Pay (Cheque),Assets:Current Assets:Checking Account,Checking Account,-1352.83
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-32.93
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-133.74
2012-05-09,6353a65d5985fd9271e7e238117bc26c,4,Employee1,Virement - AccesD Internet,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-21.46
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,,Expenses:Salaries,iField,1923.2
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Expenses:Salaries:Taxes and Benefits:Canada:CC-AE(EI),CC-AE(EI),187.55
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RRQ(QPP),CC-RRQ(QPP),179.75
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RQAP(QPIP),CC-RQAP(QPIP),25.79
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Expenses:Salaries:Taxes and Benefits:Quebec:CC-FSS(Health Service Fund),CC-FSS(Health Service Fund),0
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,0
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,"Employee Impôt Federale sur le revenu retenu",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-184.04
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,"Employee Impôt du Québec retenu",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-230.64
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,Employee Régie des rentes du Québec/Quebec Pension Plan QPP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-89.88
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,Employee Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-10.75
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,Employee Cotisation à l'assurance-emploi/Employment Insurance Premiums,Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-28.27
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,Paie Nette/Net Pay (Cheque),Assets:Current Assets:Checking Account,Checking Account,-1379.62
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-187.55
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-179.75
2012-05-14,8fc574ce7a4078df871652cea65d4439,5,Employee8,Cheque/no 6,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-25.79
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,,Expenses:Salaries,iField,1923.2
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Expenses:Salaries:Taxes and Benefits:Canada:CC-AE(EI),CC-AE(EI),187.55
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RRQ(QPP),CC-RRQ(QPP),179.75
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RQAP(QPIP),CC-RQAP(QPIP),25.79
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Expenses:Salaries:Taxes and Benefits:Quebec:CC-FSS(Health Service Fund),CC-FSS(Health Service Fund),0
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,0
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,"Employee Impôt Federale sur le revenu retenu",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-184.04
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,"Employee Impôt du Québec retenu",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-230.64
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,Employee Régie des rentes du Québec/Quebec Pension Plan QPP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-89.88
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,Employee Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-10.75
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,Employee Cotisation à l'assurance-emploi/Employment Insurance Premiums,Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-28.27
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,Paie Nette/Net Pay (Cheque),Assets:Current Assets:Checking Account,Checking Account,-1379.62
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-187.55
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-179.75
2012-05-24,5bffe53d5b249e3958bb33ac78ae11db,6,Employee8,Cheque/no 7,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-25.79
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,PMT 2012-05-17,Expenses:Salaries,iField,800
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Expenses:Salaries:Taxes and Benefits:Canada:CC-AE(EI),CC-AE(EI),32.93
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RRQ(QPP),CC-RRQ(QPP),133.74
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RQAP(QPIP),CC-RQAP(QPIP),21.46
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Expenses:Salaries:Taxes and Benefits:Quebec:CC-FSS(Health Service Fund),CC-FSS(Health Service Fund),0
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,0
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,PMT 2012-05-31,Expenses:Salaries,iField,800.01
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,"Employee Impôt Federale sur le revenu retenu",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-73.14
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,"Employee Impôt du Québec retenu",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-74.7
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,Employee Régie des rentes du Québec/Quebec Pension Plan QPP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-66.88
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,Employee Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-8.94
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,Employee Cotisation à l'assurance-emploi/Employment Insurance Premiums,Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-23.52
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,Paie Nette/Net Pay (Cheque),Assets:Current Assets:Checking Account,Checking Account,-1352.83
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-32.93
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-133.74
2012-06-04,e9f9bd9f22bd9e012ba5c56ed965a1d6,3,Employee1,Virement - AccesD Internet,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-21.46
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,PMT 2012-06-14,Expenses:Salaries,iField,800
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Expenses:Salaries:Taxes and Benefits:Canada:CC-AE(EI),CC-AE(EI),16.47
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RRQ(QPP),CC-RRQ(QPP),66.87
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RQAP(QPIP),CC-RQAP(QPIP),10.73
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Expenses:Salaries:Taxes and Benefits:Quebec:CC-FSS(Health Service Fund),CC-FSS(Health Service Fund),0
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,0
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,"Employee Impôt Federale sur le revenu retenu",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-36.57
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,"Employee Impôt du Québec retenu",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-37.35
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,Employee Régie des rentes du Québec/Quebec Pension Plan QPP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-33.44
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,Employee Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-4.47
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,Employee Cotisation à l'assurance-emploi/Employment Insurance Premiums,Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-11.76
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,Paie Nette/Net Pay (Cheque),Assets:Current Assets:Checking Account,Checking Account,-676.41
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-16.47
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-66.87
2012-06-14,df75950bf5e49cdac35bf29c3b5f5c7d,4,Employee1,Virement - AccesD Internet,"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-10.73
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),,Expenses:Salaries,iField,3846.41
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),"Employeur Cotisation à l'assurance-emploi/Employment Insurance Premiums",Expenses:Salaries:Taxes and Benefits:Canada:CC-AE(EI),CC-AE(EI),375.1
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),"Employeur Régie des rentes du Québec/Quebec Pension Plan QPP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RRQ(QPP),CC-RRQ(QPP),359.5
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),"Employeur Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP",Expenses:Salaries:Taxes and Benefits:Quebec:CC-RQAP(QPIP),CC-RQAP(QPIP),51.58
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Expenses:Salaries:Taxes and Benefits:Quebec:CC-FSS(Health Service Fund),CC-FSS(Health Service Fund),0
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),"Employeur Cotisation au Fonds des services de santé/Quebec Health Services Fund",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,0
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),"Employee Impôt Federale sur le revenu retenu",Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-368.08
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),"Employee Impôt du Québec retenu",Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-461.28
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),Employee Régie des rentes du Québec/Quebec Pension Plan QPP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-179.76
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),Employee Régime québécois d'assurance parentale/Quebec Parental Insurance Plan QPIP,Liabilities:Taxes:Remises Quebec RS0001,Remises Quebec RS0001,-21.5
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),Employee Cotisation à l'assurance-emploi/Employment Insurance Premiums,Liabilities:Taxes:Remises Federal RP0001,Remises Federal RP0001,-56.54
2012-06-14,9569a880569e45d47ab751a31a6979f4,5,Employee8,Virement - AccesD Internet (2 pay periods),Paie Nette/Net Pay (Cheque),Assets:Current Assets:Checking Account,Checking Account,-2759.25
