,Date,Annee,Mois,Concateniser,Payor,Payee,Deposit,Withdrawal,General Leader Number,Debit,Credit,Category,Memo Field,Classification,Retained Copy-only notes,TPS 5%,TVQ 9.5%,0.9132420091,0.9523809524,,,
1,2011-02-16,2011,2,2011-2Telephone service,6010,Telus,,71.77,,Cash,Telephone service,Communications,,,,3.12,6.23,,,,,
1,2011-03-16,2011,3,2011-3Telephone service,6010,Telus,,71.77,,Cash,Telephone service,Communications,,,,3.12,6.23,,,,,
1,2011-04-16,2011,4,2011-4Telephone service,6010,Telus,,71.77,,Cash,Telephone service,Communications,,,,3.12,6.23,,,,,
1,2011-05-05,2011,5,2011-5Equipments – purchase,Mat,Best Buy,,69.74,,Cash,Equipments – purchase,Equipment,Equipment,Router Dlink #2,,3.5,6.25,,,,,
1,2011-05-16,2011,5,2011-5Telephone service,6010,Telus,,71.77,,Cash,Telephone service,Communications,,,,3.12,6.23,,,,,
0,2011-05-19,2011,5,2011-5Representation,6010,HELM,,22.25,,Cash,Representation,Representation,Representation,SAJE happy hour with other group,,0.84,1.51,,,,,
1,2011-05-19,2011,5,2011-5Equipments – purchase,8926,Apple Store,,39.87,,Cash,Equipments – purchase,Equipment,Equipment,Apple ecouteurs avec telecommande et micro,,1.75,3.12,,,,,
0,2011-05-26,2011,5,2011-5Representation,6010,The Salvation Army,,40.5,,Cash,Representation,Representation,Wardrobe,working clothes,,0,0,,,,,
0,2011-06-09,2011,6,2011-6Representation,Employee1 Employee1,Cafe Republique,,6.78,,Cash,Representation,Representation,Representation,AILIA meeting,,0.3,0.53,,,,,
1,2011-06-16,2011,6,2011-6Telephone service,6010,Telus,,71.77,,Cash,Telephone service,Communications,,,,3.12,6.23,,,,,
1,2011-07-13,2011,7,2011-7Publicity,6010,Click Imprimerie,,11.39,,Cash,Publicity,Publicity,Publicity,Business cards,,0.5,0.89,,,,,
1,2011-07-16,2011,7,2011-7Telephone service,6010,Telus,,71.77,,Cash,Telephone service,Communications,,,,3.12,6.23,,,,,
1,2011-08-01,2011,8,2011-8Equipments – purchase,Mat,Future Shop,,569.61,,Cash,Equipments – purchase,Equipment,Equipment,Motorola Xoom Android – Testing device,,25,44.62,,,,,
0,2011-08-01,2011,8,2011-8Representation,Employee1 Employee1,Unknown,,6.84,,Cash,Representation,Representation,Unknown,,,0.3,0.54,,,,,
0,2011-08-03,2011,8,2011-8Representation,Mat,L3B,,77.64,,Cash,Representation,Representation,Beer,not sure when this was or with who. Maybe the defile de mode?,,3.01,5.38,,,,,
1,2011-08-16,2011,8,2011-8Telephone service,6010,Telus,,71.77,,Cash,Telephone service,Communications,,,,3.12,6.23,,,,,
1,2011-09-03,2011,9,2011-9Telephone service,6010,Koodo,,23.24,,Cash,Telephone service,Communications,,,,1.01,2.02,,,,,
1,2011-09-04,2011,9,2011-9Publicity,6010,Domains at cost,,31.4,,Cash,Publicity,Publicity,,,,,,,,,,
0,2011-09-08,2011,9,2011-9Professional fees,6010,5000 Ans,,52.83,,Cash,Professional fees,Representation,Business Lunch,Laura potential collaboration lunch,,2.30,4.58,,,,,
1,2011-09-09,2011,9,2011-9Office rent & utilities,377036,Syntenic,,265.82,,Cash,Office rent & utilities,Rent,Rent,Desk 1 month (3 weeks),,11.56,23.06,,,,,
1,2011-09-11,2011,9,2011-9Publicity,Employee1 Employee1,PolyCopie,,68.34,,Cash,Publicity,Publicity,Publicity,ETAP poster for Prototype 1,,3,5.34,,,,,
1,2011-09-12,2011,9,2011-9Publicity,6022,Click Imprimerie,,11.39,,Cash,Publicity,Publicity,Publicity,Launch Party invitations,,0.5,0.89,,,,,
0,2011-09-12,2011,9,2011-9Representation,6022,La Bistrote,,21.04,,Cash,Representation,Representation,Business Lunch,Employee3 Working Lunch,,0.82,1.47,,,,,
0,2011-09-13,2011,9,2011-9Representation,6010,Postes Canada,,10.31,,Cash,Representation,Representation,Publicity,Mail invitations to Launch party,,0.06,0.11,,,,,
0,2011-09-13,2011,9,2011-9Representation,Employee1 Employee1,Thai Express,,8.06,,Cash,Representation,Representation,Working Lunch,food when testing users at concordia,,0.35,0.63,,,,,
0,2011-09-15,2011,9,2011-9Representation,6010,Petro-Canada,,5.69,,Cash,Representation,Representation,Working Lunch,sandwich,,0.25,0.45,,,,,
1,2011-09-16,2011,9,2011-9Telephone service,6010,Telus,,71.77,,Cash,Telephone service,Communications,,,,3.12,6.23,,,,,
1,2011-09-18,2011,9,2011-9Publicity,6010,Loblaws,,41.83,,Cash,Publicity,Publicity,Launch Party 0.5,"Cheese, pate, baggettes, juice",,0.4,0.71,,,,,
1,2011-09-18,2011,9,2011-9Publicity,6010,SAQ,,308.73,,Cash,Publicity,Publicity,Launch Party 0.5,Wine,30 bottles,13.55,24.19,,,,,
1,2011-09-18,2011,9,2011-9Publicity,Employee1 Employee1,Centre d'affaires Core,,3.18,,Cash,Publicity,Publicity,Publicity,PC time and print out of color proof of poster,,0.14,0.25,,,,,
1,2011-09-19,2011,9,2011-9Publicity,Employee1 Employee1,Centre d'affaires Core,,1.37,,Cash,Publicity,Publicity,Publicity,handouts for ETAP poster,,0.06,0.11,,,,,
0,2011-09-20,2011,9,2011-9Representation,6010,La Bistrote,,40.77,,Cash,Representation,Representation,Business Lunch,Employee2 Job Interview,,1.57,2.8,,,,,
1,2011-09-20,2011,9,2011-9Salaries & wages,Employee1 Employee1,Hiskako Employee2,,80,,Cash,Salaries & wages,Human Resources,Pay,1 day of work in prep for the Wine and Cheese,,,,,,,,
1,2011-09-21,2011,9,2011-9Publicity,6022,Ikea,,37.52,,Cash,Publicity,Publicity,Launch Party 0.5,Wine glasses,,1.65,2.94,,,,,
1,2011-09-22,2011,9,2011-9Publicity,6010,Les Fromages du Paradis,,35.97,,Cash,Publicity,Publicity,Launch Party 0.5,Cheese,9 cheeses,1.56,3.12,,,,,
1,2011-09-22,2011,9,2011-9Publicity,6022,Metro,,36.43,,Cash,Publicity,Publicity,Launch Party 0.5,Cheese,5 cheeses,1.58,3.16,,,,,
1,2011-09-22,2011,9,2011-9Office supplies,Employee1 Employee1,Dollarama,,10.83,,Cash,Office supplies,Office supplies,Office Supplies,"Pens, postits and desk organizers",,0.48,85,,,,,
1,2011-09-22,2011,9,2011-9Publicity,Employee1 Employee1,Click Imprimerie,,20,,Cash,Publicity,Publicity,Publicity,Launch Party game cards,,0.88,1.57,,,,,
0,2011-10-01,2011,10,2011-10Representation,Employee1 Employee1,La Gargote des antiquaires,,21.19,,Cash,Representation,Representation,Business Lunch,Employee3 Working Lunch,,0.93,1.66,,,,,
,2011-10-01,2011,10,2011-10Investissement Employee3,Mat,Investissement de Employee3,14521.9,,,,Investissement Employee3,,Calculé selon l'actif dans l'encaisse et le débit de chaque compte.,,,,,,,,,
,2011-10-01,2011,10,2011-10Owners' investment,Mat,Investissement de Employee3,14521.9,,,,Owners' investment,,Calculé selon l'actif dans l'encaisse et le débit de chaque compte.,,,,,,,,,
1,2011-10-05,2011,10,2011-10Office rent & utilities,377036,Syntenic,,398.74,,Cash,Office rent & utilities,Rent,Rent,Desk 1 month,,17.34,34.59,,,,,
0,2011-10-06,2011,10,2011-10Telephone service,6010,Koodo,,8.24,,Cash,Telephone service,Representation,what is this for?,,,0.36,0.71,,,,,
1,2011-10-15,2011,10,2011-10Equipments – purchase,Mat,Apple Store,,1422.87,,Cash,Equipments – purchase,Equipment,Equipment,Laptop and scanner/copier/printer,,62.45,111.47,,,,,
1,2011-10-16,2011,10,2011-10Publicity,6010,PayPal -Academy of Aphasia,,260.14,,Cash,Publicity,Publicity,Conference registration ,Academy of Aphasia Anual meeting Oct 16-18 2011,,11.31,22.57,,,,,
1,2011-10-21,2011,10,2011-10Telephone service,6010,Koodo,,100,,Cash,Telephone service,Communications,"Phone cost for Nexus S, or somethign else Koodo Airtime",,,4.35,8.68,,,,,
1,2011-10-26,2011,10,2011-10Cash,377036,UQAM ,250,,,Publicity,Cash,Sales,"Aphasia Reimboursement, check to see exact value, american or canadian dollars?",,,,,,,,,
1,2011-10-28,2011,10,2011-10Vehicle expenses,6010,Budget,,170.16,,Cash,Vehicle expenses,Travel,Vehicule for Nels Conference,,,7.40,14.76,,,,,
,2011-11-01,2011,11,2011-11Publicity,Employee1 Employee1,ETAP,,,,,Publicity,Publicity,Etap conference fees,,,,,,,,,
1,2011-11-04,2011,11,2011-11Publicity,6010,Domains at cost,,13.6,,Cash,Publicity,Publicity,,,,,,,,,,
1,2011-11-04,2011,11,2011-11Publicity,6010,PayPal-Nels,,140,,Cash,Publicity,Publicity,Nels conference fees,,,,,,,,,
1,2011-11-05,2011,11,2011-11Telephone service,6010,Koodo,,23.24,,Cash,Telephone service,Communications,,,,1.01,2.02,,,,,
,2011-11-14,2011,11,2011-11Telephone service,Employee1 Employee1,Telus,,71.77,,,Telephone service,,,,,3.12,6.23,,,,,
1,2011-11-17,2011,11,2011-11Publicity,6010,PAYPAL *JBRUN,,31.74,,Cash,Publicity,Publicity,Montreal Ouverte hackathon day with tee-shirt,,,,,,,,,
0,2011-11-18,2011,11,2011-11Representation,Employee1 Employee1,Cafe Depot,,2.59,,Cash,Representation,Representation,Working Lunch,coffee on the way to lasik and working at concordia,,0.11,0.2,,,,,
0,2011-11-18,2011,11,2011-11Representation,Employee1 Employee1,Altaib,,7.31,,Cash,Representation,Representation,Working Lunch,2 zatar working at concordia waiting for Employee4,,0.32,0.57,,,,,
0,2011-11-19,2011,11,2011-11Representation,Employee1 Employee1,L3B,,20.32,,Cash,Representation,Representation,Representation,Hackathon happy hour Montreal Ouverte,,0.89,1.59,,,,,
1,2011-11-21,2011,11,2011-11Permits & licenses,6010,CORPORATN/IC 3189345,,200,,Cash,Permits & licenses,Fees,Federal incorporation fees,,,,,,,,,
0,2011-11-28,2011,11,2011-11Representation,Employee1 Employee1,Cafe Myriade,,4.72,,Cash,Representation,Representation,Working Lunch,quick meeting with Employee2 after talk?,,0.21,0.37,,,,,
1,2011-11-29,2011,11,2011-11Professional services,6010,NETSYM COMMUNICATION,,39.87,,Cash,Professional services,Human Resources,Job post on AgentSolo.com ,,,,,,,,,
1,2011-12-01,2011,12,2011-12Office rent & utilities,377036,Syntenic,,25,,Cash,Office rent & utilities,Rent,Rent,Desk rent 1 day,,1.09,2.17,,,,,
0,2011-12-01,2011,12,2011-12Representation,6010,McKibbin's,,31.92,,Cash,Representation,Representation,Business Lunch,Laurent job interview,,1.22,2.18,,,,,
0,2011-12-02,2011,12,2011-12Representation,Employee1 Employee1,Cafe X,,3.99,,Cash,Representation,Representation,Working Lunch,cafe x waiting for Frank's talk,,0.18,0.31,,,,,
1,2011-12-05,2011,12,2011-12Office rent & utilities,377036,Syntenic,,25,,Cash,Office rent & utilities,Rent,Rent,Desk rent 1 day,,1.09,2.17,,,,,
0,2011-12-05,2011,12,2011-12Representation,Employee2 Employee2,Thai Express,,16.13,,Cash,Representation,Representation,Working Lunch,Employee2 working lunch,,0.71,1.26,,,,,
,2011-12-06,2011,12,2011-12Telephone service,Employee1 Employee1,Koodo,,194.77,,,Telephone service,,unknown koodo charge,,,8.47,16.90,,,,,
,2011-12-06,2011,12,2011-12Telephone service,Employee1 Employee1,Koodo,,23.73,,,Telephone service,,unknown koodo charge,,,1.03,2.06,,,,,
,2011-12-08,2011,12,2011-12Telephone service,Employee1 Employee1,Koodo,,17.09,,,Telephone service,,probably the phone case,,,0.74,1.48,,,,,
1,2011-12-11,2011,12,2011-12Salaries & wages,377036,MITACS INC,,3750,,Cash,Salaries & wages,Human Resources,Pay,Pay period Jan 12- March 31 for intern Employee5 Employee5,,,,,,,,
1,2011-12-12,2011,12,2011-12Cash,377036,PSREMOVED,1480,,,,Cash,Sales,Android App - 1st installment,,,-64.36,-128.40,,,,,
,2011-12-15,2011,12,2011-12Publicity,Employee1 Employee1,Click Imprimerie,,22.7,,,Publicity,,,,,0.99,1.97,,,,,
,2011-12-16,2011,12,2011-12Telephone service,Employee1 Employee1,Telus,,71.77,,,Telephone service,,,,,3.12,6.23,,,,,
1,2011-12-19,2011,12,2011-12Publicity,6010,CUSEC,,150,,Cash,Publicity,Publicity,"CUSEC conference fees, professional rate",,,,,,,,,
,2011-12-22,2011,12,2011-12Permits & licenses,Employee1 Employee1,Quebec fee,,300,,,Permits & licenses,Fees,quebec incorporation fees,,,,,,,,,
1,2011-12-29,2011,12,2011-12Salaries & wages,377036,Employee2 Employee2,,386.85,,Cash,Salaries & wages,Human Resources,Pay,Pay period Dec 6-24,,,,,,,,
,2012-01-01,2012,1,2012-1Telephone service,Employee1 Employee1,Koodo,,57.42,,,Telephone service,,,,,2.50,4.98,,,,,
1,2012-01-04,2012,1,2012-1Office rent & utilities,377036,Gestion immobilere Quo Vadis,,30,,Cash,Office rent & utilities,Rent,Key deposit,Key deposit for front door and upstairs door and office door,,1.30,2.60,,,,,
1,2012-01-04,2012,1,2012-1Office rent & utilities,377036,Gestion immobilere Quo Vadis,,1980.54,,Cash,Office rent & utilities,Rent,Rent,Rent 3 months,,86.13,171.83,,,,,
1,2012-01-06,2012,1,2012-1Telephone service,6010,Koodo,,57.42,,Cash,Telephone service,Communications,,,,2.50,4.98,,,,,
1,2012-01-09,2012,1,2012-1Equipments – purchase,6010,Future Shop,,423.38,,Cash,Equipments – purchase,Equipment,office computer,,,19.5,38.9,,,,,
1,2012-01-09,2012,1,2012-1Cash,81211,PSREMOVED,1049.18,,,,Cash,Sales,Android App - 2nd installment,,,-45.63,-91.02,,,,,
,2012-01-09,2012,1,2012-1Equipments – purchase,Employee1 Employee1,Future Shop,,7.48,,,Equipments – purchase,,usb key to install the linux computer,,,0.33,0.65,,,,,
,2012-01-10,2012,1,2012-1Salaries & wages,Employee1 Employee1,Salaire Employee2,,386.85,,,Salaries & wages,,PMT Employee2 pour decembre de 400$,,,,,,,,,
,2012-01-12,2012,1,2012-1Publicity,Mat,LTL Prints,,139,,,Publicity,,Poster Name Tags,,,,,,,,,
,2012-01-14,2012,1,2012-1Telephone service,Employee1 Employee1,Telus,,71.77,,,Telephone service,,,,,3.12,6.23,,,,,
0,2012-01-19,2012,1,2012-1Representation,6010,Subway,,5.18,,Cash,Representation,Representation,Working Lunch at CUSEC,,,0.23,0.45,,,,,
0,2012-01-19,2012,1,2012-1Representation,6010,Ye Olde Orchard Pub,,18,,Cash,Representation,Representation,"beer at cusec, 4 dollar tip",,,0.61,1.21,,,,,
0,2012-01-19,2012,1,2012-1Representation,8926,Grillades du cedres,,10.05,,Cash,Representation,Representation,Working Lunch at CUSEC,,,0.44,0.87,,,,,
1,2012-01-21,2012,1,2012-1Office supplies,Mat,Ikea,,97.71,,Cash,Office supplies,Office supplies,Chair for the office,,,4.25,8.48,,,,,
1,2012-01-21,2012,1,2012-1Office supplies,Mat,Ikea,,155.12,,Cash,Office supplies,Office supplies,"Shelves for the office, and storage supplies",,,6.75,13.46,,,,,
1,2012-01-24,2012,1,2012-1Cash,81211,Dr. Laura SREMOVED,500,,,,Cash,Sales,Tools for Psycholinguists Training,,,-21.74,-43.38,,,,,
,2012-01-27,2012,1,2012-1Publicity,Employee1 Employee1,Click Imprimerie,,11.35,,,Publicity,,Business Card,,,0.5,0.85,,,,,
,2012-01-31,2012,1,2012-1Publicity,Employee1 Employee1,Click Imprimerie,,4.54,,,Publicity,,Copies,,,0.2,0.34,,,,,
,2012-02-02,2012,2,2012-2Vehicle expenses,Employee1 Employee1,STM,,75.5,,,Vehicle expenses,,STM Fevrier,,,3.28,6.55,,,,,
,2012-02-07,2012,2,2012-2Representation,Employee1 Employee1,Resto Basilic,,21.74,,,Representation,,Avec employe,,,0.95,1.89,,,,,
,2012-02-08,2012,2,2012-2Representation,Employee1 Employee1,Pho Bac,,8,,,Representation,,Diner,,,0.35,0.69,,,,,
,2012-02-16,2012,2,2012-2Telephone service,Employee1 Employee1,Telus,,72.43,,,Telephone service,,,,,3.15,6.28,,,,,
,2012-02-21,2012,2,2012-2Internet connection & hosting,Employee1 Employee1,Domains at cost,,45,,,Internet connection & hosting,,renewal of 3 domains,,,,,,,,,
,2012-02-22,2012,2,2012-2Representation,Employee1 Employee1,Resto Mon-Nan,,28.15,,,Representation,,4 repas: employe,,,1.27,2.49,,,,,
,2012-02-29,2012,2,2012-2Representation,Employee1 Employee1,1219 Cressent,,16,,,Representation,,Startup Drinks with Employee2,,,0.70,1.39,,,,,
,2012-03-06,2012,3,2012-3Telephone service,Employee1 Employee1,Koodo,,37.3,,,Telephone service,,,,,1.62,3.24,,,,,
,2012-03-07,2012,3,2012-3Representation,Employee1 Employee1,Taco House,,5.18,,,Representation,,Meeting with Android Montreal,,,0.23,0.45,,,,,
,2012-03-08,2012,3,2012-3Postage,Employee1 Employee1,Poste Canada,,1.48,,,Postage,,,,,0.06,0.13,,,,,
,2012-03-12,2012,3,2012-3Representation,Employee1 Employee1,L'ambroisie,,13.61,,,Representation,,Meeting with Javascript Montreal,,,0.59,1.18,,,,,
,2012-03-15,2012,3,2012-3Office food,Employee1 Employee1,IGA,,34.32,,,Office food,,Coffee + food,,,1.49,2.98,,,,,
,2012-03-16,2012,3,2012-3Telephone service,Employee1 Employee1,Telus,,213.16,,,Telephone service,,customer service for pierre stat,,,9.27,18.49,,,,,
,2012-03-26,2012,3,2012-3Traveling,Employee1 Employee1,Amtrack Train Ticket,,70,,,Traveling,,From Ny to MTL Train,,,3.04,6.07,,,,,
,2012-03-27,2012,3,2012-3Representation,Employee1 Employee1,Resto Mon-Nan,,18,,,Representation,,Business Meeting with Philippe from Match FWD,,,0.78,1.56,,,,,
,2012-03-27,2012,3,2012-3Representation,Employee1 Employee1,Cafe Republique,,12.54,,,Representation,,"ALIA, Association tech Languagiere.",,,0.55,1.09,,,,,
,2012-03-28,2012,3,2012-3Salaries & wages,81211,PMT Employee1,,1313.2,,,Salaries & wages,,,,,,,,,,,
,2012-03-29,2012,3,2012-3Representation,Employee1 Employee1,La Legende' Patisserie,,20,,,Representation,,With Employee7,,,0.87,1.74,,,,,
,2012-04-02,2012,4,2012-4Representation,Employee1 Employee1,L2 Lounge,,7.09,,,Representation,,Bubble tea with chris,,,0.31,0.62,,,,,
,2012-04-02,2012,4,2012-4Payroll taxes,81211,Remise gouvernementale/Retenue à la source féd.,,104.99,,,Payroll taxes,,,,,,,,,,,
,2012-04-02,2012,4,2012-4Payroll taxes,81211,Remise gouvernementale/Retenue à la source Qc.,,225.64,,,Payroll taxes,,,,,,,,,,,
,2012-04-02,2012,4,2012-4Office rent & utilities,81211,Rent Avril-May-Juin,,2069.55,,,Office rent & utilities,,Chèque /no 3,,,90.00,179.55,,,,,
,2012-04-03,2012,4,2012-4Taxes,81211,Remise gouvernementale TPS-TVQ/Paiement taxes TPS/TVQ,,473.29,,,Taxes,,,,,,,,,,,
,2012-04-06,2012,4,2012-4Telephone service,Employee1 Employee1,Koodo,,46.45,,,Telephone service,,,,,2.02,4.03,,,,,
,2012-04-07,2012,4,2012-4Office supplies,Mat,Wall-mart,,31.93,,,Office supplies,,coffee machine,,,1.39,2.77,,,,,
,2012-04-09,2012,4,2012-4Office food,Employee1 Employee1,IGA,,28.65,,,Office food,,Coffee + food,,,0.15,0.29,,,,,
,2012-04-11,2012,4,2012-4Representation,Employee1 Employee1,Premiee Moison,,6.11,,,Representation,,With Bacteria Detector Droid,,,0.14,0.27,,,,,
,2012-04-12,2012,4,2012-4Professional fees,81211,Cheque #4 : WorkVisa Dr Employee6,,364,,,Professional fees,,Chèque /no 4 Work Visa for Dr Employee6,,,,,,,,,
,2012-04-14,2012,4,2012-4Professional fees,Employee1 Employee1,Google chrome store developer registration,,5.08,,,Professional fees,,,,,,,,,,,
,2012-04-14,2012,4,2012-4Telephone service,Employee1 Employee1,Telus,,91.29,,,Telephone service,,,,,3.97,7.92,,,,,
,2012-04-17,2012,4,2012-4Representation,Employee1 Employee1,L2 Lounge,,3.55,,,Representation,,Bubble tea with chris,,,0.16,0.31,,,,,
,2012-04-18,2012,4,2012-4Representation,Employee1 Employee1,La Legende' Patisserie,,16.61,,,Representation,,Interview Teressa,,,0.72,1.44,,,,,
,2012-04-23,2012,4,2012-4Office food,Employee1 Employee1,IGA,,8.58,,,Office food,,Coffee Cream,,,0.37,0.74,,,,,
,2012-04-23,2012,4,2012-4Owners' investment,81211,Investissement de Employee3,14000,,,,Owners' investment,,Provenance du compte House,,,,,,,,,
,2012-04-23,2012,4,2012-4Investissement Employee3,Mat,Investissement de Employee3,14000,,,,Investissement Employee3,,Credite l'avoir des actionnaires,,,,,,,,,
,2012-04-24,2012,4,2012-4Professional fees,Employee1 Employee1,Google Play developer fee,,25.27,,,Professional fees,,,,,1.10,2.19,,,,,
,2012-04-25,2012,4,2012-4Office food Credit,,IGA,,27.64,,,Office food Credit,,"tea, hot chocolate and fruites for employees",,,1.20,2.40,,,,,
,2012-04-27,2012,4,2012-4Representation,Employee1 Employee1,Rotisserie Coco Rico,,11.44,,,Representation,,"Souper avec Emmy, futur Employe",,,0.50,0.99,,,,,
,2012-04-30,2012,4,2012-4Bank charges,81211,Frais fixes d'utilisation,,4.95,,,Bank charges,,,,,,,,,,,
,2012-04-30,2012,4,2012-4Internet connection & hosting,Employee1 Employee1,Domains at cost,,13.6,,,Internet connection & hosting,,,,,,,,,,,
,2012-05-01,2012,5,2012-5,81211,SOLDE compte,,17 713.02,,,,,,,,,,,,,,
,2012-05-02,2012,5,2012-5Representation Credit,Employee1 Employee1,Cafe Maurizio,,9.75,,,Representation Credit,,Meeting with Android Montreal,,,0.42,0.85,,,,,
,2012-05-02,2012,5,2012-5Salaries & wages,81211,PMT Teressa,,1379.62,,,Salaries & wages,,Chèque /no 5 Pour s2 au 13 Avril,,,,,,,,,
,2012-05-03,2012,5,2012-5Payroll taxes,81211,Remise gouvernementale/Retenue à la source Qc.,,639.88,,,Payroll taxes,,Quebec,,,,,,,,,
,2012-05-03,2012,5,2012-5Payroll taxes,81211,Remise gouvernementale/Retenue à la source féd.,,316.68,,,Payroll taxes,,Federal,,,,,,,,,
,2012-05-04,2012,5,2012-5Office food Credit,Employee1 Employee1,Mourelatos,,14.65,,,Office food Credit,,Office Food / Coffee,,,0.64,1.27,,,,,
,2012-05-04,2012,5,2012-5Publicity Credit,Employee1 Employee1,Click Imprimerie,,11.5,,,Publicity Credit,,Teressa Card,,,0.50,1.00,,,,,
,2012-05-07,2012,5,2012-5Publicity Credit,Employee1 Employee1,Copies Concordia,,6,,,Publicity Credit,,Brochure Acfas,,,0.26,0.52,,,,,
,2012-05-07,2012,5,2012-5Representation Credit,Employee1 Employee1,McGill University,,8.5,,,Representation Credit,,Lunch at conference Exploring the Interface,,,0.37,0.74,,,,,
,2012-05-09,2012,5,2012-5Salaries & wages,81211,Paiement Employee1,,1352.83,,,Salaries & wages,,Paiement Employee1 pour le mois de Avril Complet,,,,,,,,,
,2012-05-14,2012,5,2012-5Salaries & wages,81211,Paiement Theressa (Cheque 6),,1379.62,,,Salaries & wages,,Paiement Theressa (14 au 28 avril),,,,,,,,,
,2012-05-18,2012,5,2012-5Traveling Credit,,AMT,,7,,,Traveling Credit,,Train ticket to Deux Montangues,,,,,,,,,
,2012-05-22,2012,5,2012-5Representation Credit,,Restaurant M.G.,,9.48,,,Representation Credit,,Lunch at dumpling restaurant with emmy and yuliya,,,0.41,0.82,,,,,
,2012-05-24,2012,5,2012-5Salaries & wages,81211,Paiement Theressa (Cheque 7),,1379.62,,,Salaries & wages,,Paiement Theressa (29 avril au 12 may),,,,,,,,,
,2012-05-24,2012,5,2012-5Office food Credit,,Kien Vihn Supermarket,,1.99,,,Office food Credit,16.64,fruit for office employees,,,0.09,0.17,,,,,
,2012-05-25,2012,5,2012-5Representation Credit,,La Legende' Patisserie,,2.7,,,Representation Credit,,lunch at la legende ,,,0.12,0.23,,,,,
,2012-05-30,2012,5,2012-5Owners' investment,Employee1 Employee1,Employee1 Traveling Credit card payment,7,,,,Owners' investment,,,,,,,,,,,
,2012-05-30,2012,5,2012-5Traveling,,Transfert from credit to expenses,,7,,Traveling Credit,Traveling,,,,,,,,,,,
,2012-05-30,2012,5,2012-5Owners' investment,Employee1 Employee1,Employee1 Food Credit card payment,44.28,,,,Owners' investment,,,,,,,,,,,
,2012-05-30,2012,5,2012-5Office food,,Transfert from credit to expenses,,44.28,,Office food Credit,Office food,,,,,,,,,,,
,2012-05-30,2012,5,2012-5Owners' investment,Employee1 Employee1,Employee1 Publicity Credit card payment,17.5,,,,Owners' investment,,,,,,,,,,,
,2012-05-30,2012,5,2012-5Publicity,,Transfert from credit to expenses,,17.5,,Publicity Credit,Publicity,,,,,,,,,,,
,2012-05-31,2012,5,2012-5Bank charges,81211,Frais fixes d'utilisation,,4.95,,,Bank charges,,,,,,,,,,,
,2012-05-31,2012,5,2012-5Owners' investment,Employee1 Employee1,Employee1 Representation Credit card payment,30.43,,,,Owners' investment,,,,,,,,,,,
,2012-05-31,2012,5,2012-5Representation,,Transfert from credit to expenses,,30.43,,Representation Credit,Representation,,,,,,,,,,,
,2012-05-31,2012,5,2012-5Telephone service Credit,,Telephone on Credit card,,118.88,,,Telephone service Credit,,,,,5.17,10.31,,,,,
,2012-05-31,2012,5,2012-5Telephone service,,Transfert from credit to expenses,,118.88,,Telephone service Credit,Telephone service,,,,,,,,,,,
,2012-05-31,2012,5,2012-5Owners' investment,Employee1 Employee1,Employee1 Phone Credit card payment,118.88,,,,Owners' investment,,,,,,,TPS,TVQ,,,
